ticket_id,customer_id,ticket_date,issue_type,resolution_time_days,satisfaction_score
T200088,CUST100367,2023-05-07,Product,0,4
T200089,CUST100369,2025-06-22,Payment,2,4
T200090,CUST100372,2024-03-10,Returns,3,5
T200091,CUST100378,2024-08-29,Returns,5,4
T200092,CUST100384,2025-07-28,Payment,2,3
T200093,CUST100390,2023-02-12,Returns,3,1
T200094,CUST100392,2025-05-25,Payment,5,5
T200095,CUST100398,2023-03-07,Payment,0,4
T200096,CUST100399,2023-12-21,Tech,3,2
T200097,CUST100399,2025-07-20,Returns,6,4
T200098,CUST100402,2025-06-24,Delivery,4,4
T200099,CUST100405,2025-05-23,Product,2,3
T200100,CUST100406,2025-05-25,Returns,1,5
T200101,CUST100408,2024-06-18,Tech,0,3
T200102,CUST100411,2025-03-02,Other,0,5
T200103,CUST100412,2025-05-16,Product,1,3
T200104,CUST100418,2025-05-27,Other,1,1
T200105,CUST100418,2025-06-25,Other,3,2
T200106,CUST100420,2025-07-11,Delivery,0,5
T200107,CUST100435,2024-08-20,Product,3,4
T200108,CUST100436,2025-05-04,Returns,0,5
T200109,CUST100436,2022-08-07,Other,1,3
T200110,CUST100436,2024-03-12,Tech,1,5
T200111,CUST100437,2024-11-18,Other,16,3
T200112,CUST100440,2025-04-02,Payment,1,2
T200113,CUST100441,2025-06-26,Payment,1,5
T200114,CUST100443,2024-08-10,Returns,1,1
T200115,CUST100444,2023-10-20,Product,4,1
T200116,CUST100445,2022-03-09,Payment,2,5
T200117,CUST100449,2024-05-12,Other,1,4
T200118,CUST100451,2025-02-13,Tech,2,5
T200119,CUST100451,2024-10-13,Payment,0,4
T200120,CUST100455,2024-10-03,Other,1,3
T200121,CUST100459,2024-06-02,Other,0,4
T200122,CUST100462,2025-04-20,Returns,1,1
T200123,CUST100470,2024-11-19,Other,0,3
T200124,CUST100473,2023-08-31,Payment,4,4
T200125,CUST100473,2023-05-02,Delivery,0,2
T200126,CUST100482,2025-04-30,Tech,0,5
T200127,CUST100482,2025-07-03,Other,0,4
T200128,CUST100485,2024-11-05,Other,1,4
T200129,CUST100486,2024-09-06,Payment,0,2
T200130,CUST100487,2024-10-07,Returns,1,3
T200131,CUST100489,2025-08-11,Other,3,5
T200132,CUST100492,2025-02-20,Tech,0,4
T200133,CUST100493,2024-08-26,Tech,1,4
T200134,CUST100494,2025-04-24,Payment,0,4
T200135,CUST100495,2024-06-18,Product,5,5
T200136,CUST100496,2025-08-11,Returns,1,4
T200137,CUST100498,2025-08-28,Delivery,4,4
T200138,CUST100514,2025-08-11,Returns,0,4
T200139,CUST100527,2025-07-23,Payment,0,3
T200140,CUST100531,2023-08-08,Returns,0,4
T200141,CUST100532,2025-03-05,Product,0,4
T200142,CUST100532,2025-04-28,Delivery,2,5
T200143,CUST100535,2023-06-05,Tech,1,5
T200144,CUST100535,2024-10-27,Payment,1,5
T200145,CUST100538,2024-07-25,Returns,0,4
T200146,CUST100541,2025-02-02,Payment,3,4
T200147,CUST100541,2023-06-19,Payment,2,2
T200148,CUST100548,2025-03-07,Tech,3,4
T200149,CUST100550,2024-02-24,Delivery,0,2
T200150,CUST100551,2024-12-19,Tech,2,3
T200151,CUST100553,2025-05-19,Other,1,2
T200152,CUST100553,2023-02-02,Returns,2,4
T200153,CUST100554,2025-05-31,Delivery,0,4
T200154,CUST100554,2025-01-20,Returns,0,4
T200155,CUST100555,2024-06-20,Payment,0,3
T200156,CUST100561,2025-06-24,Delivery,1,3
T200157,CUST100568,2025-06-21,Payment,0,4
T200158,CUST100568,2025-08-31,Payment,2,4
T200159,CUST100570,2024-09-16,Product,1,5
T200160,CUST100571,2025-08-22,Returns,0,1
T200161,CUST100572,2025-05-21,Product,0,4
T200162,CUST100582,2025-03-15,Returns,0,5
T200163,CUST100583,2025-01-05,Returns,2,5
T200164,CUST100584,2025-02-24,Payment,4,5
T200165,CUST100586,2023-12-20,Returns,2,4
T200166,CUST100589,2023-08-11,Delivery,2,5
T200167,CUST100594,2024-11-25,Product,0,1
T200168,CUST100604,2024-07-07,Payment,0,4
T200169,CUST100608,2025-06-08,Tech,2,4
T200170,CUST100610,2025-07-29,Returns,1,5
T200171,CUST100612,2024-09-18,Payment,10,5
T200172,CUST100612,2025-08-07,Delivery,0,2
T200173,CUST100627,2024-04-16,Tech,0,3
T200174,CUST100630,2025-04-17,Delivery,2,3
T200175,CUST100637,2025-02-24,Tech,3,5
T200176,CUST100640,2025-08-22,Product,3,4
T200177,CUST100641,2025-03-06,Payment,4,5
T200178,CUST100641,2025-08-17,Product,2,4
T200179,CUST100645,2025-05-27,Delivery,0,4
T200180,CUST100656,2023-12-25,Other,3,2
T200181,CUST100660,2025-08-08,Payment,0,4
T200182,CUST100662,2025-03-16,Returns,2,3
T200183,CUST100662,2025-03-03,Delivery,1,3
T200184,CUST100664,2025-01-20,Delivery,1,3
T200185,CUST100677,2025-08-08,Returns,1,5
T200186,CUST100679,2022-04-11,Payment,3,3
T200187,CUST100680,2025-06-30,Other,0,4
T200188,CUST100685,2023-04-09,Product,0,1
T200189,CUST100687,2023-05-11,Product,2,3
T200190,CUST100690,2025-07-24,Tech,0,4
T200191,CUST100696,2025-05-31,Payment,0,4
T200192,CUST100697,2024-07-06,Tech,3,2
T200193,CUST100700,2025-02-03,Product,0,5
T200194,CUST100707,2025-07-22,Product,3,3
T200195,CUST100709,2022-08-31,Returns,1,5
T200196,CUST100710,2025-03-07,Product,0,5
T200197,CUST100712,2023-12-28,Payment,3,4
T200198,CUST100714,2024-02-21,Product,0,3
T200199,CUST100715,2024-05-28,Returns,0,4
T200200,CUST100717,2024-07-14,Delivery,0,4
T200201,CUST100720,2024-12-15,Tech,3,5
T200202,CUST100722,2025-06-05,Payment,2,3
T200203,CUST100724,2025-03-10,Tech,3,3
T200204,CUST100725,2025-04-27,Product,1,4
T200205,CUST100733,2024-11-05,Product,2,4
T200206,CUST100736,2024-12-23,Other,3,3
T200207,CUST100737,2025-07-22,Payment,7,2
T200208,CUST100737,2025-07-21,Product,0,3
T200209,CUST100740,2024-11-05,Delivery,3,1
T200210,CUST100741,2025-05-10,Payment,6,1
T200211,CUST100742,2025-06-04,Other,0,4
T200212,CUST100745,2024-06-20,Payment,7,4
T200213,CUST100748,2024-11-30,Delivery,1,5
T200214,CUST100749,2025-06-06,Delivery,0,4
T200215,CUST100749,2024-10-22,Delivery,2,1
T200216,CUST100751,2025-07-23,Tech,0,4
T200217,CUST100755,2023-10-30,Other,0,5
T200218,CUST100764,2025-04-21,Other,5,5
T200219,CUST100764,2025-06-12,Other,2,2
T200220,CUST100767,2025-07-19,Returns,0,4
T200221,CUST100769,2025-07-16,Product,2,2
T200222,CUST100772,2024-12-26,Product,0,4
T200223,CUST100774,2025-04-04,Product,3,4
T200224,CUST100776,2024-07-29,Payment,0,4
T200225,CUST100778,2025-08-20,Product,2,5
T200226,CUST100780,2025-04-19,Tech,1,3
T200227,CUST100781,2024-03-05,Delivery,1,4
T200228,CUST100784,2025-07-20,Other,4,3
T200229,CUST100790,2025-05-05,Payment,0,4
T200230,CUST100795,2025-04-26,Delivery,1,3
T200231,CUST100797,2025-07-28,Product,8,4
T200232,CUST100797,2024-12-12,Payment,3,4
T200233,CUST100804,2025-03-12,Product,1,3
T200234,CUST100804,2024-07-15,Payment,8,4
T200235,CUST100805,2024-02-15,Tech,5,3
T200236,CUST100812,2025-01-01,Returns,11,4
T200237,CUST100813,2025-05-20,Returns,2,5
T200238,CUST100814,2025-01-05,Other,1,5
T200239,CUST100814,2025-03-11,Other,6,5
T200240,CUST100817,2023-05-14,Returns,0,5
T200241,CUST100823,2023-11-24,Delivery,0,4
T200242,CUST100825,2025-04-20,Tech,4,3
T200243,CUST100829,2025-07-30,Delivery,0,1
T200244,CUST100830,2025-06-05,Delivery,4,3
T200245,CUST100833,2025-08-03,Delivery,4,4
T200246,CUST100839,2024-10-28,Product,0,4
T200247,CUST100846,2025-02-05,Other,2,5
T200248,CUST100846,2025-06-02,Payment,0,5
T200249,CUST100849,2024-10-09,Product,2,5
T200250,CUST100854,2024-10-31,Returns,0,5
T200251,CUST100857,2025-03-18,Payment,0,5
T200252,CUST100865,2025-07-03,Returns,3,4
T200253,CUST100865,2025-05-06,Payment,0,5
T200254,CUST100873,2025-07-13,Other,0,4
T200255,CUST100874,2025-06-16,Product,3,5
T200256,CUST100880,2025-07-10,Other,1,3
T200257,CUST100882,2025-07-24,Delivery,2,4
T200258,CUST100882,2025-09-01,Tech,2,1
T200259,CUST100891,2025-08-01,Tech,8,4
T200260,CUST100892,2023-06-27,Returns,3,5
T200261,CUST100895,2025-08-27,Returns,1,3
T200262,CUST100900,2024-07-15,Product,23,1
T200263,CUST100902,2024-09-06,Other,4,4
T200264,CUST100908,2025-04-28,Returns,0,3
T200265,CUST100910,2024-02-19,Tech,0,1
T200266,CUST100913,2025-08-31,Other,6,4
T200267,CUST100928,2024-11-01,Payment,1,1
T200268,CUST100932,2025-05-13,Other,1,3
T200269,CUST100937,2025-02-12,Other,3,5
T200270,CUST100945,2025-05-27,Product,0,4
T200271,CUST100948,2025-08-06,Returns,2,4
T200272,CUST100950,2024-01-29,Payment,1,4
T200273,CUST100954,2025-03-18,Product,0,3
T200274,CUST100956,2023-04-24,Returns,0,2
T200275,CUST100956,2023-04-01,Payment,2,4
T200276,CUST100965,2024-05-18,Tech,0,4
T200277,CUST100967,2023-10-22,Payment,0,3
T200278,CUST100970,2025-03-15,Product,4,2
T200279,CUST100971,2024-10-26,Tech,2,2
T200280,CUST100973,2024-10-31,Tech,7,4
T200281,CUST100976,2025-04-16,Other,2,4
T200282,CUST100980,2025-03-22,Product,2,4
T200283,CUST100983,2025-05-12,Payment,1,4
T200284,CUST100989,2025-02-28,Other,0,4
T200285,CUST100990,2025-07-07,Payment,1,4
T200286,CUST100991,2025-07-13,Delivery,0,5
T200287,CUST100996,2022-12-05,Delivery,4,2
T200288,CUST101003,2024-10-30,Payment,1,3
T200289,CUST101003,2025-07-11,Product,0,3
T200290,CUST101007,2025-07-01,Other,2,3
T200291,CUST101009,2024-08-06,Other,2,4
T200292,CUST101013,2025-06-10,Delivery,6,4
T200293,CUST101013,2025-06-22,Delivery,2,5
T200294,CUST101014,2024-05-25,Delivery,0,3
T200295,CUST101024,2025-03-28,Other,0,4
T200296,CUST101024,2025-04-29,Tech,1,4
T200297,CUST101025,2025-02-23,Payment,2,4
T200298,CUST101028,2024-08-30,Payment,4,4
T200299,CUST101034,2025-07-22,Other,6,2
T200300,CUST101036,2024-11-17,Product,0,2
T200301,CUST101038,2025-08-08,Delivery,2,4
T200302,CUST101038,2023-04-29,Product,2,5
T200303,CUST101042,2024-12-28,Payment,1,1
T200304,CUST101047,2025-08-08,Tech,0,4
T200305,CUST101048,2025-07-30,Delivery,1,2
T200306,CUST101051,2025-04-24,Delivery,0,4
T200307,CUST101056,2025-02-16,Other,0,3
T200308,CUST101065,2024-05-07,Product,1,2
T200309,CUST101067,2024-01-06,Tech,0,4
T200310,CUST101067,2023-01-27,Other,2,4
T200311,CUST101072,2025-09-01,Other,3,4
T200312,CUST101076,2025-02-02,Other,2,4
T200313,CUST101077,2025-05-29,Tech,1,3
T200314,CUST101082,2023-09-22,Other,2,5
T200315,CUST101089,2023-08-29,Payment,0,4
T200316,CUST101098,2025-07-26,Returns,2,4
T200317,CUST101101,2025-08-26,Delivery,15,4
T200318,CUST101105,2025-08-04,Product,0,3
T200319,CUST101107,2023-07-26,Delivery,9,5
T200320,CUST101108,2025-08-25,Tech,0,4
T200321,CUST101113,2024-04-22,Delivery,5,2
T200322,CUST101116,2025-07-13,Payment,0,5
T200323,CUST101117,2024-05-06,Returns,1,5
T200324,CUST101118,2025-03-10,Payment,1,5
T200325,CUST101123,2023-09-14,Returns,6,4
T200326,CUST101124,2025-04-24,Product,0,3
T200327,CUST101128,2025-06-20,Other,0,3
T200328,CUST101132,2023-01-16,Delivery,7,4
T200329,CUST101143,2025-06-16,Product,1,4
T200330,CUST101145,2025-08-19,Tech,1,4
T200331,CUST101149,2023-02-23,Tech,9,2
T200332,CUST101152,2025-02-25,Tech,0,5
T200333,CUST101170,2025-06-26,Product,4,4
T200334,CUST101171,2024-01-26,Returns,2,5
T200335,CUST101171,2024-05-09,Returns,2,3
T200336,CUST101181,2025-06-10,Returns,2,4
T200337,CUST101188,2025-09-01,Other,2,4
T200338,CUST101189,2023-09-28,Product,1,4
T200339,CUST101193,2025-08-29,Tech,3,4
T200340,CUST101194,2022-12-28,Tech,6,4
T200341,CUST101194,2022-08-08,Returns,1,5
T200342,CUST101194,2023-12-09,Payment,2,4
T200343,CUST101203,2023-06-11,Payment,1,5
T200344,CUST101204,2025-03-01,Other,5,4
T200345,CUST101207,2024-10-04,Tech,8,5
T200346,CUST101208,2023-05-12,Returns,1,5
T200347,CUST101208,2024-10-17,Tech,6,4
T200348,CUST101215,2024-05-30,Delivery,4,4
T200349,CUST101217,2024-06-02,Delivery,0,3
T200350,CUST101219,2023-12-30,Tech,6,3
T200351,CUST101221,2024-01-04,Delivery,1,4
T200352,CUST101226,2025-06-03,Returns,13,4
T200353,CUST101229,2022-09-28,Delivery,4,3
T200354,CUST101232,2025-02-02,Tech,0,5
T200355,CUST101233,2025-01-18,Payment,3,4
T200356,CUST101239,2025-08-16,Product,0,2
T200357,CUST101240,2025-08-20,Other,2,3
T200358,CUST101241,2025-07-31,Other,2,3
T200359,CUST101244,2024-10-13,Product,0,4
T200360,CUST101251,2025-09-01,Tech,1,4
T200361,CUST101252,2025-03-03,Payment,0,4
T200362,CUST101256,2025-08-23,Other,1,4
T200363,CUST101257,2024-05-07,Other,2,4
T200364,CUST101261,2023-10-19,Delivery,1,4
T200365,CUST101269,2025-02-04,Product,1,4
T200366,CUST101280,2024-05-16,Tech,1,4
T200367,CUST101284,2023-08-06,Returns,0,5
T200368,CUST101284,2024-01-21,Returns,0,5
T200369,CUST101286,2024-10-15,Returns,2,5
T200370,CUST101292,2025-08-27,Other,0,5
T200371,CUST101293,2024-08-03,Tech,4,2
T200372,CUST101294,2024-08-02,Payment,0,4
T200373,CUST101298,2023-01-28,Product,5,4
T200374,CUST101299,2025-01-11,Delivery,0,4
T200375,CUST101310,2025-08-27,Delivery,0,1
T200376,CUST101320,2025-08-14,Delivery,0,4
T200377,CUST101321,2024-12-28,Payment,0,5
T200378,CUST101322,2024-12-11,Product,4,5
T200379,CUST101326,2023-12-25,Returns,1,1
T200380,CUST101338,2024-07-20,Other,14,1
T200381,CUST101338,2025-08-11,Product,0,3
T200382,CUST101340,2024-12-18,Delivery,3,3
T200383,CUST101341,2024-07-22,Other,6,5
T200384,CUST101342,2025-07-26,Product,0,3
T200385,CUST101346,2024-08-16,Delivery,2,3
T200386,CUST101348,2025-03-08,Delivery,9,5
T200387,CUST101361,2024-04-18,Delivery,3,3
T200388,CUST101361,2025-03-13,Payment,0,1
T200389,CUST101370,2025-06-26,Product,1,4
T200390,CUST101371,2025-07-20,Returns,2,4
T200391,CUST101371,2025-08-10,Other,2,4
T200392,CUST101372,2024-03-16,Delivery,0,5
T200393,CUST101378,2025-06-05,Other,3,4
T200394,CUST101380,2024-10-23,Returns,0,5
T200395,CUST101382,2025-06-07,Tech,0,5
T200396,CUST101386,2024-12-01,Tech,2,2
T200397,CUST101394,2025-05-25,Tech,2,5
T200398,CUST101395,2024-07-16,Other,1,4
T200399,CUST101397,2025-03-13,Tech,0,3
T200400,CUST101399,2025-01-03,Payment,10,4
T200401,CUST101399,2025-04-21,Payment,1,3
T200402,CUST101402,2024-05-02,Delivery,1,3
T200403,CUST101403,2024-12-16,Returns,2,5
T200404,CUST101403,2024-01-03,Tech,0,5
T200405,CUST101416,2025-02-12,Delivery,1,4
T200406,CUST101427,2025-04-05,Product,0,4
T200407,CUST101432,2024-10-15,Product,0,4
T200408,CUST101434,2025-07-22,Returns,0,3
T200409,CUST101438,2025-08-20,Payment,9,4
T200410,CUST101440,2023-12-27,Tech,2,4
T200411,CUST101442,2025-03-07,Other,2,5
T200412,CUST101446,2025-06-14,Product,1,4
T200413,CUST101449,2025-05-31,Returns,2,4
T200414,CUST101450,2025-08-14,Other,3,5
T200415,CUST101452,2025-08-16,Returns,0,4
T200416,CUST101453,2025-07-13,Payment,3,5
T200417,CUST101455,2025-08-02,Delivery,3,3
T200418,CUST101459,2025-02-14,Other,9,4
T200419,CUST101461,2024-06-04,Delivery,0,5
T200420,CUST101461,2024-11-26,Product,0,3
T200421,CUST101464,2023-12-28,Tech,1,5
T200422,CUST101465,2023-06-14,Returns,0,3
T200423,CUST101475,2024-05-23,Tech,5,4
T200424,CUST101476,2024-11-19,Product,0,3
T200425,CUST101479,2023-09-12,Returns,5,4
T200426,CUST101479,2023-07-29,Other,0,4
T200427,CUST101483,2025-06-16,Payment,5,5
T200428,CUST101484,2025-07-31,Delivery,1,4
T200429,CUST101486,2022-07-14,Product,7,2
T200430,CUST101490,2023-01-11,Returns,5,2
T200431,CUST101490,2025-02-15,Tech,3,4
T200432,CUST101499,2024-03-15,Product,3,3
T200433,CUST101516,2024-09-07,Payment,2,5
T200434,CUST101521,2024-10-17,Other,6,2
T200435,CUST101523,2024-05-07,Product,2,5
T200436,CUST101525,2024-08-08,Returns,1,4
T200437,CUST101533,2024-11-04,Tech,0,4
T200438,CUST101535,2024-06-06,Other,0,4
T200439,CUST101547,2025-06-13,Tech,5,4
T200440,CUST101554,2025-08-23,Returns,3,4
T200441,CUST101559,2024-08-12,Product,0,4
T200442,CUST101561,2024-11-21,Returns,0,2
T200443,CUST101563,2024-06-13,Tech,0,1
T200444,CUST101565,2025-03-17,Tech,3,5
T200445,CUST101569,2024-06-09,Product,0,5
T200446,CUST101569,2024-07-26,Product,0,4
T200447,CUST101578,2025-02-05,Returns,1,5
T200448,CUST101581,2025-06-02,Delivery,1,2
T200449,CUST101582,2024-03-14,Returns,4,4
T200450,CUST101582,2025-01-10,Tech,1,5
T200451,CUST101588,2024-02-25,Product,1,4
T200452,CUST101595,2025-07-26,Product,0,1
T200453,CUST101606,2025-07-12,Delivery,1,4
T200454,CUST101608,2025-02-27,Delivery,0,4
T200455,CUST101614,2023-11-30,Returns,1,4
T200456,CUST101618,2024-01-26,Other,0,1
T200457,CUST101621,2024-01-13,Delivery,10,5
T200458,CUST101622,2025-06-18,Returns,0,5
T200459,CUST101623,2025-07-05,Product,0,4
T200460,CUST101625,2024-11-27,Tech,5,1
T200461,CUST101627,2024-07-07,Payment,0,3
T200462,CUST101632,2025-07-21,Delivery,6,4
T200463,CUST101638,2023-05-19,Other,1,4
T200464,CUST101640,2025-06-09,Other,3,4
T200465,CUST101648,2025-05-07,Returns,0,4
T200466,CUST101649,2025-06-01,Delivery,8,5
T200467,CUST101658,2024-11-15,Payment,0,4
T200468,CUST101672,2025-08-11,Product,1,3
T200469,CUST101680,2024-05-02,Other,12,5
T200470,CUST101681,2023-07-14,Other,2,4
T200471,CUST101682,2025-07-05,Other,2,4
T200472,CUST101685,2023-02-25,Payment,7,4
T200473,CUST101690,2024-04-20,Other,1,4
T200474,CUST101697,2025-08-16,Delivery,0,2
T200475,CUST101702,2025-08-16,Other,4,3
T200476,CUST101702,2025-08-20,Other,6,5
T200477,CUST101702,2025-08-31,Returns,3,4
T200478,CUST101704,2025-02-24,Product,2,4
T200479,CUST101705,2024-01-20,Product,2,4
T200480,CUST101713,2023-10-26,Payment,0,4
T200481,CUST101713,2023-06-24,Delivery,0,3
T200482,CUST101717,2025-02-28,Tech,9,1
T200483,CUST101718,2024-10-31,Product,1,4
T200484,CUST101724,2024-06-21,Delivery,2,4
T200485,CUST101724,2025-01-26,Returns,6,5
T200486,CUST101725,2025-07-06,Payment,0,2
T200487,CUST101726,2025-08-03,Payment,3,2
T200488,CUST101726,2023-04-23,Other,0,4
T200489,CUST101728,2024-11-06,Product,1,4
T200490,CUST101730,2024-09-07,Product,2,4
T200491,CUST101736,2024-08-31,Tech,3,4
T200492,CUST101739,2025-06-09,Returns,5,5
T200493,CUST101740,2025-07-08,Payment,0,4
T200494,CUST101740,2025-08-01,Returns,4,4
T200495,CUST101741,2023-12-03,Product,1,1
T200496,CUST101743,2024-10-17,Other,2,2
T200497,CUST101745,2025-06-16,Delivery,1,4
T200498,CUST101745,2024-12-17,Delivery,1,3
T200499,CUST101747,2024-12-13,Product,6,4
T200500,CUST101748,2024-09-30,Product,2,5
T200501,CUST101749,2024-12-13,Product,1,3
T200502,CUST101750,2025-05-07,Product,1,5
T200503,CUST101751,2024-07-02,Delivery,0,4
T200504,CUST101751,2025-04-11,Payment,0,5
T200505,CUST101752,2025-03-01,Product,0,3
T200506,CUST101752,2025-05-24,Product,0,4
T200507,CUST101754,2024-04-07,Other,0,2
T200508,CUST101756,2025-07-18,Tech,2,4
T200509,CUST101757,2025-01-15,Product,0,5
T200510,CUST101763,2024-07-18,Returns,0,5
T200511,CUST101764,2025-08-14,Product,3,4
T200512,CUST101772,2022-06-28,Delivery,4,4
T200513,CUST101773,2024-06-30,Delivery,1,5
T200514,CUST101777,2023-10-19,Delivery,0,5
T200515,CUST101777,2023-10-18,Delivery,1,4
T200516,CUST101778,2025-02-27,Product,1,2
T200517,CUST101779,2025-07-09,Other,1,4
T200518,CUST101781,2025-08-06,Returns,1,5
T200519,CUST101788,2024-11-15,Returns,0,3
T200520,CUST101789,2025-01-15,Tech,1,2
T200521,CUST101790,2025-08-04,Returns,0,3
T200522,CUST101792,2025-05-17,Payment,4,5
T200523,CUST101796,2024-01-25,Payment,1,5
T200524,CUST101798,2024-10-10,Other,10,3
T200525,CUST101798,2024-11-11,Other,4,2
T200526,CUST101809,2023-01-27,Delivery,0,4
T200527,CUST101811,2025-06-01,Other,1,4
T200528,CUST101814,2025-03-29,Payment,1,3
T200529,CUST101820,2025-08-30,Tech,3,5
T200530,CUST101823,2024-02-10,Delivery,0,5
T200531,CUST101823,2025-04-13,Delivery,14,5
T200532,CUST101828,2025-08-12,Payment,1,4
T200533,CUST101838,2024-08-17,Other,2,4
T200534,CUST101841,2024-08-06,Product,0,5
T200535,CUST101842,2024-10-05,Returns,0,4
T200536,CUST101843,2025-06-28,Returns,1,3
T200537,CUST101845,2024-08-14,Tech,0,3
T200538,CUST101845,2024-02-04,Delivery,1,4
T200539,CUST101850,2025-03-18,Delivery,0,5
T200540,CUST101851,2024-01-30,Payment,1,4
T200541,CUST101857,2025-07-22,Other,2,5
T200542,CUST101862,2025-08-21,Tech,6,5
T200543,CUST101864,2025-08-23,Delivery,1,4
T200544,CUST101867,2025-07-28,Delivery,1,1
T200545,CUST101871,2025-07-17,Delivery,1,5
T200546,CUST101877,2024-04-09,Delivery,4,4
T200547,CUST101879,2024-12-21,Product,0,1
T200548,CUST101886,2024-04-10,Other,4,3
T200549,CUST101888,2025-08-27,Tech,1,1
T200550,CUST101894,2022-06-06,Product,0,4
T200551,CUST101896,2024-04-22,Returns,0,5
T200552,CUST101903,2025-08-26,Delivery,1,4
T200553,CUST101921,2025-03-15,Product,1,3
T200554,CUST101921,2025-08-13,Product,2,3
T200555,CUST101924,2025-06-12,Tech,8,4
T200556,CUST101927,2025-07-23,Payment,3,4
T200557,CUST101933,2022-10-24,Product,5,4
T200558,CUST101934,2025-04-05,Returns,5,5
T200559,CUST101935,2025-01-15,Returns,0,4
