customer_id,signup_date,cohort_month,last_purchase_date,days_since_last_purchase,num_purchases,avg_order_value_inr,total_spent_inr,support_tickets,last_support_date,region,segment,is_churned_180d
CUST100031,2024-05-15,2024-05,2025-07-01,78.0,1,185.0,185,0,,Hyderabad,Low-Value,0
CUST100032,2023-11-28,2023-11,2024-03-13,553.0,7,478.0,3346,0,,Mumbai,Mid-Value,1
CUST100033,2023-07-24,2023-07,2023-10-23,695.0,3,363.0,1089,0,,Delhi,Mid-Value,1
CUST100034,2022-11-15,2022-11,2024-09-10,372.0,4,1069.0,4276,0,,Mumbai,Mid-Value,1
CUST100035,2023-03-17,2023-03,,,0,229.0,0,0,,Bengaluru,Low-Value,1
CUST100036,2023-11-21,2023-11,,,0,814.0,0,0,,Bengaluru,Low-Value,1
CUST100037,2022-07-29,2022-07,,,0,183.0,0,0,,Mumbai,Low-Value,1
CUST100038,2022-07-09,2022-07,2022-08-11,1133.0,4,371.0,1484,0,,Pune,Mid-Value,1
CUST100039,2024-02-18,2024-02,2025-04-14,156.0,1,199.0,199,0,,Other,Low-Value,0
CUST100040,2022-07-18,2022-07,2023-02-15,945.0,2,84.0,168,0,,Bengaluru,Low-Value,1
CUST100041,2024-01-06,2024-01,2025-05-28,112.0,3,196.0,588,0,,Other,Low-Value,0
CUST100042,2023-12-06,2023-12,2025-06-15,94.0,5,328.0,1640,0,,Mumbai,Mid-Value,0
CUST100043,2025-05-21,2025-05,2025-06-02,107.0,5,1263.0,6315,0,,Delhi,High-Value,0
CUST100044,2023-06-26,2023-06,2025-04-04,166.0,3,169.0,507,0,,Kolkata,Low-Value,0
CUST100045,2022-03-30,2022-03,2024-09-24,358.0,2,248.0,496,0,,Bengaluru,Low-Value,1
CUST100046,2024-07-29,2024-07,2025-04-12,158.0,3,127.0,381,0,,Bengaluru,Low-Value,0
CUST100047,2025-01-03,2025-01,2025-05-31,109.0,3,1017.0,3051,0,,Bengaluru,Mid-Value,0
CUST100048,2022-09-13,2022-09,2022-11-18,1034.0,1,279.0,279,1,2024-06-21,Kolkata,Low-Value,1
CUST100049,2024-02-15,2024-02,2024-12-07,284.0,6,308.0,1848,1,2024-04-23,Other,Mid-Value,1
CUST100050,2022-06-11,2022-06,2024-10-19,333.0,1,305.0,305,1,2024-08-18,Hyderabad,Low-Value,1
CUST100051,2025-02-04,2025-02,2025-03-30,171.0,5,85.0,425,0,,Chennai,Low-Value,0
CUST100052,2023-08-24,2023-08,2024-04-08,527.0,4,125.0,500,0,,Hyderabad,Low-Value,1
CUST100053,2025-07-11,2025-07,2025-08-29,19.0,3,188.0,564,0,,Pune,Low-Value,0
CUST100054,2025-06-20,2025-06,2025-08-17,31.0,2,660.0,1320,0,,Pune,Mid-Value,0
CUST100055,2024-01-11,2024-01,2025-07-28,51.0,3,55.0,165,0,,Kolkata,Low-Value,0
CUST100056,2025-03-28,2025-03,2025-07-03,76.0,2,622.0,1244,0,,Kolkata,Mid-Value,0
CUST100057,2023-01-29,2023-01,2023-05-26,845.0,6,531.0,3186,0,,Delhi,Mid-Value,1
CUST100058,2022-05-23,2022-05,2023-06-27,813.0,2,94.0,188,0,,Hyderabad,Low-Value,1
CUST100059,2022-04-04,2022-04,2024-11-20,301.0,6,313.0,1878,1,2022-05-30,Pune,Mid-Value,1
CUST100060,2023-04-12,2023-04,2023-08-17,762.0,3,1024.0,3072,1,2023-07-27,Hyderabad,Mid-Value,1
CUST100061,2023-08-16,2023-08,,,0,171.0,0,0,,Bengaluru,Low-Value,1
CUST100062,2022-06-13,2022-06,2024-05-31,474.0,5,259.0,1295,0,,Mumbai,Mid-Value,1
CUST100063,2023-04-22,2023-04,,,0,3673.0,0,0,,Mumbai,Low-Value,1
CUST100064,2022-07-26,2022-07,,,0,524.0,0,0,,Hyderabad,Low-Value,1
CUST100065,2024-02-18,2024-02,2025-06-07,102.0,2,328.0,656,0,,Chennai,Low-Value,0
CUST100066,2023-07-24,2023-07,,,0,275.0,0,0,,Hyderabad,Low-Value,1
CUST100067,2024-07-17,2024-07,2025-02-13,216.0,3,544.0,1632,0,,Delhi,Mid-Value,1
CUST100068,2025-07-25,2025-07,2025-08-19,29.0,5,698.0,3490,0,,Mumbai,Mid-Value,0
CUST100069,2024-01-18,2024-01,2024-01-25,601.0,8,72.0,576,0,,Kolkata,Low-Value,1
CUST100070,2022-11-30,2022-11,2025-07-19,60.0,4,68.0,272,0,,Bengaluru,Low-Value,0
CUST100071,2024-01-29,2024-01,2025-02-15,214.0,1,182.0,182,0,,Kolkata,Low-Value,1
CUST100072,2023-12-29,2023-12,2024-08-14,399.0,3,357.0,1071,0,,Bengaluru,Mid-Value,1
CUST100073,2023-03-06,2023-03,,,0,429.0,0,0,,Delhi,Low-Value,1
CUST100074,2023-07-01,2023-07,,,0,103.0,0,0,,Mumbai,Low-Value,1
CUST100075,2025-08-20,2025-08,2025-08-28,20.0,2,342.0,684,1,2025-08-21,Bengaluru,Low-Value,0
CUST100076,2022-05-27,2022-05,2023-12-28,629.0,4,381.0,1524,0,,Hyderabad,Mid-Value,1
CUST100077,2025-06-01,2025-06,2025-07-05,74.0,1,204.0,204,0,,Mumbai,Low-Value,0
CUST100078,2025-07-24,2025-07,2025-08-09,39.0,5,263.0,1315,0,,Hyderabad,Mid-Value,0
CUST100079,2022-12-17,2022-12,2023-10-27,691.0,3,226.0,678,0,,Bengaluru,Low-Value,1
CUST100080,2024-12-29,2024-12,,,0,585.0,0,1,2025-02-12,Chennai,Low-Value,1
CUST100081,2023-05-17,2023-05,2025-08-08,40.0,4,406.0,1624,1,2024-02-28,Delhi,Mid-Value,0
CUST100082,2022-12-01,2022-12,2025-06-19,90.0,1,162.0,162,0,,Delhi,Low-Value,0
CUST100083,2024-08-04,2024-08,,,0,866.0,0,0,,Delhi,Low-Value,1
CUST100084,2024-02-17,2024-02,2025-04-16,154.0,3,135.0,405,0,,Hyderabad,Low-Value,0
CUST100085,2023-07-07,2023-07,2025-05-26,114.0,1,102.0,102,0,,Hyderabad,Low-Value,0
CUST100086,2025-08-03,2025-08,2025-08-10,38.0,1,332.0,332,0,,Delhi,Low-Value,0
CUST100087,2025-02-14,2025-02,,,0,330.0,0,0,,Mumbai,Low-Value,1
CUST100088,2023-03-26,2023-03,2023-03-30,902.0,3,428.0,1284,2,2025-03-21,Mumbai,Mid-Value,1
CUST100089,2023-10-27,2023-10,2024-12-24,267.0,2,157.0,314,0,,Pune,Low-Value,1
CUST100090,2022-04-25,2022-04,2022-06-30,1175.0,4,824.0,3296,1,2022-11-15,Bengaluru,Mid-Value,1
CUST100091,2023-04-15,2023-04,,,0,1590.0,0,0,,Pune,Low-Value,1
CUST100092,2022-03-07,2022-03,2022-04-07,1259.0,1,397.0,397,1,2022-09-12,Pune,Low-Value,1
CUST100093,2023-10-09,2023-10,,,0,519.0,0,1,2024-10-24,Pune,Low-Value,1
CUST100094,2024-04-01,2024-04,2024-04-27,508.0,5,74.0,370,1,2025-08-29,Delhi,Low-Value,1
CUST100095,2023-07-03,2023-07,2023-12-07,650.0,5,285.0,1425,0,,Pune,Mid-Value,1
CUST100096,2022-05-16,2022-05,2024-06-20,454.0,1,231.0,231,0,,Other,Low-Value,1
CUST100097,2023-03-09,2023-03,,,0,203.0,0,0,,Mumbai,Low-Value,1
CUST100098,2025-03-07,2025-03,2025-07-17,62.0,2,238.0,476,0,,Pune,Low-Value,0
CUST100099,2023-10-07,2023-10,2025-06-12,97.0,2,258.0,516,0,,Pune,Low-Value,0
CUST100100,2023-03-12,2023-03,2024-01-31,595.0,2,126.0,252,0,,Bengaluru,Low-Value,1
CUST100101,2024-10-19,2024-10,2025-04-08,162.0,6,273.0,1638,0,,Mumbai,Mid-Value,0
CUST100102,2024-03-21,2024-03,2024-09-11,371.0,6,175.0,1050,0,,Delhi,Mid-Value,1
CUST100103,2025-08-09,2025-08,2025-08-27,21.0,5,758.0,3790,0,,Bengaluru,Mid-Value,0
CUST100104,2024-07-28,2024-07,2025-03-05,196.0,5,525.0,2625,0,,Bengaluru,Mid-Value,1
CUST100105,2022-10-20,2022-10,,,0,526.0,0,0,,Mumbai,Low-Value,1
CUST100106,2023-06-27,2023-06,2024-02-29,566.0,2,881.0,1762,0,,Mumbai,Mid-Value,1
CUST100107,2022-10-13,2022-10,2024-12-22,269.0,5,208.0,1040,0,,Bengaluru,Mid-Value,1
CUST100108,2023-05-21,2023-05,2023-12-04,653.0,5,501.0,2505,0,,Mumbai,Mid-Value,1
CUST100109,2025-02-23,2025-02,,,0,950.0,0,0,,Kolkata,Low-Value,1
CUST100110,2025-01-08,2025-01,2025-06-14,95.0,4,197.0,788,1,2025-08-04,Delhi,Low-Value,0
CUST100111,2023-06-23,2023-06,2025-04-12,158.0,3,80.0,240,1,2024-03-06,Mumbai,Low-Value,0
CUST100112,2025-04-12,2025-04,2025-07-21,58.0,2,232.0,464,0,,Hyderabad,Low-Value,0
CUST100113,2024-05-27,2024-05,2025-07-25,54.0,2,867.0,1734,0,,Kolkata,Mid-Value,0
CUST100114,2025-04-10,2025-04,2025-04-23,147.0,2,188.0,376,0,,Delhi,Low-Value,0
CUST100115,2024-03-28,2024-03,2025-06-10,99.0,6,278.0,1668,1,2025-04-29,Other,Mid-Value,0
CUST100116,2024-01-12,2024-01,2024-05-22,483.0,4,216.0,864,1,2024-03-13,Bengaluru,Low-Value,1
CUST100117,2023-03-26,2023-03,2025-01-05,255.0,1,346.0,346,2,2023-04-01,Hyderabad,Low-Value,1
CUST100118,2022-10-11,2022-10,2024-12-18,273.0,1,174.0,174,0,,Hyderabad,Low-Value,1
CUST100119,2024-11-09,2024-11,2025-02-05,224.0,1,123.0,123,0,,Hyderabad,Low-Value,1
CUST100120,2024-10-07,2024-10,,,0,284.0,0,0,,Mumbai,Low-Value,1
CUST100121,2022-07-06,2022-07,2024-10-08,344.0,3,325.0,975,0,,Bengaluru,Low-Value,1
CUST100122,2022-04-07,2022-04,2024-01-18,608.0,1,986.0,986,0,,Hyderabad,Low-Value,1
CUST100123,2022-08-13,2022-08,2025-07-07,72.0,3,425.0,1275,0,,Bengaluru,Mid-Value,0
CUST100124,2022-11-10,2022-11,2023-09-30,718.0,6,158.0,948,0,,Chennai,Low-Value,1
CUST100125,2025-07-09,2025-07,2025-08-05,43.0,2,225.0,450,0,,Chennai,Low-Value,0
CUST100126,2022-11-24,2022-11,2023-07-18,792.0,5,714.0,3570,0,,Hyderabad,Mid-Value,1
CUST100127,2024-05-14,2024-05,2024-07-03,441.0,2,287.0,574,1,2025-06-07,Other,Low-Value,1
CUST100128,2025-05-06,2025-05,2025-08-04,44.0,1,168.0,168,0,,Hyderabad,Low-Value,0
CUST100129,2022-05-11,2022-05,2023-01-24,967.0,7,431.0,3017,0,,Hyderabad,Mid-Value,1
CUST100130,2024-02-28,2024-02,2025-07-28,51.0,8,214.0,1712,0,,Hyderabad,Mid-Value,0
CUST100131,2024-02-21,2024-02,,,0,591.0,0,0,,Hyderabad,Low-Value,1
CUST100132,2025-05-05,2025-05,2025-05-20,120.0,3,539.0,1617,0,,Delhi,Mid-Value,0
CUST100133,2024-08-16,2024-08,2025-07-05,74.0,6,161.0,966,0,,Hyderabad,Low-Value,0
CUST100134,2024-12-19,2024-12,2025-07-07,72.0,1,1682.0,1682,0,,Delhi,Mid-Value,0
CUST100135,2023-05-30,2023-05,2025-07-18,61.0,9,366.0,3294,0,,Bengaluru,Mid-Value,0
CUST100136,2025-02-07,2025-02,2025-07-17,62.0,3,48.0,144,3,2025-06-24,Bengaluru,Low-Value,0
CUST100137,2022-01-24,2022-01,2023-07-10,800.0,3,547.0,1641,0,,Pune,Mid-Value,1
CUST100138,2022-08-23,2022-08,2023-07-14,796.0,6,50.0,300,0,,Bengaluru,Low-Value,1
CUST100139,2025-01-04,2025-01,,,0,927.0,0,0,,Pune,Low-Value,1
CUST100140,2023-07-01,2023-07,,,0,422.0,0,0,,Bengaluru,Low-Value,1
CUST100141,2025-08-05,2025-08,2025-08-15,33.0,4,359.0,1436,1,2025-08-05,Other,Mid-Value,0
CUST100142,2023-11-28,2023-11,,,0,377.0,0,0,,Other,Low-Value,1
CUST100143,2022-08-17,2022-08,2023-10-08,710.0,3,603.0,1809,2,2023-03-26,Kolkata,Mid-Value,1
CUST100144,2023-08-25,2023-08,2023-11-28,659.0,5,257.0,1285,0,,Pune,Mid-Value,1
CUST100145,2024-06-09,2024-06,2024-07-26,418.0,5,374.0,1870,0,,Kolkata,Mid-Value,1
CUST100146,2022-11-20,2022-11,2022-12-16,1006.0,4,414.0,1656,0,,Delhi,Mid-Value,1
CUST100147,2024-07-18,2024-07,,,0,38.0,0,0,,Kolkata,Low-Value,1
CUST100148,2022-01-07,2022-01,2024-06-20,454.0,1,606.0,606,0,,Delhi,Low-Value,1
CUST100149,2023-06-24,2023-06,2023-07-05,805.0,1,694.0,694,0,,Kolkata,Low-Value,1
CUST100150,2024-10-22,2024-10,2025-08-21,27.0,2,541.0,1082,0,,Other,Mid-Value,0
CUST100151,2023-01-01,2023-01,2023-06-06,834.0,3,512.0,1536,0,,Chennai,Mid-Value,1
CUST100152,2024-11-05,2024-11,2024-11-19,302.0,1,1352.0,1352,0,,Other,Mid-Value,1
CUST100153,2022-08-06,2022-08,,,0,364.0,0,0,,Mumbai,Low-Value,1
CUST100154,2025-07-04,2025-07,2025-08-12,36.0,1,374.0,374,0,,Pune,Low-Value,0
CUST100155,2023-09-04,2023-09,2025-08-28,20.0,2,224.0,448,0,,Bengaluru,Low-Value,0
CUST100156,2025-08-01,2025-08,2025-08-06,42.0,3,82.0,246,1,2025-08-31,Hyderabad,Low-Value,0
CUST100157,2024-11-05,2024-11,2025-08-24,24.0,2,544.0,1088,0,,Hyderabad,Mid-Value,0
CUST100158,2025-06-01,2025-06,2025-07-19,60.0,2,244.0,488,1,2025-08-15,Hyderabad,Low-Value,0
CUST100159,2023-02-12,2023-02,2023-03-09,923.0,3,81.0,243,1,2024-07-24,Kolkata,Low-Value,1
CUST100160,2022-11-10,2022-11,2023-08-04,775.0,2,355.0,710,0,,Mumbai,Low-Value,1
CUST100161,2024-02-05,2024-02,2025-05-14,126.0,4,347.0,1388,0,,Bengaluru,Mid-Value,0
CUST100162,2022-11-27,2022-11,2024-09-06,376.0,4,314.0,1256,0,,Kolkata,Mid-Value,1
CUST100163,2025-01-09,2025-01,2025-06-19,90.0,1,420.0,420,0,,Bengaluru,Low-Value,0
CUST100164,2024-12-22,2024-12,2025-07-09,70.0,2,108.0,216,0,,Hyderabad,Low-Value,0
CUST100165,2022-01-02,2022-01,2024-01-05,621.0,1,834.0,834,0,,Mumbai,Low-Value,1
CUST100166,2025-05-11,2025-05,2025-06-03,106.0,2,533.0,1066,1,2025-06-30,Hyderabad,Mid-Value,0
CUST100167,2023-10-26,2023-10,2024-06-27,447.0,3,1019.0,3057,3,2025-03-01,Bengaluru,Mid-Value,1
CUST100168,2024-09-27,2024-09,2025-08-27,21.0,2,242.0,484,0,,Chennai,Low-Value,0
CUST100169,2022-02-09,2022-02,2023-05-09,862.0,4,532.0,2128,0,,Mumbai,Mid-Value,1
CUST100170,2022-08-18,2022-08,2024-04-17,518.0,3,85.0,255,1,2025-05-26,Hyderabad,Low-Value,1
CUST100171,2024-01-14,2024-01,2024-07-30,414.0,4,193.0,772,0,,Mumbai,Low-Value,1
CUST100172,2023-09-22,2023-09,2025-03-23,178.0,1,126.0,126,0,,Delhi,Low-Value,0
CUST100173,2023-05-06,2023-05,2024-01-12,614.0,1,464.0,464,0,,Bengaluru,Low-Value,1
CUST100174,2022-04-29,2022-04,2024-06-11,463.0,1,156.0,156,0,,Hyderabad,Low-Value,1
CUST100175,2023-05-09,2023-05,2025-07-05,74.0,2,266.0,532,0,,Chennai,Low-Value,0
CUST100176,2025-03-07,2025-03,,,0,376.0,0,0,,Hyderabad,Low-Value,1
CUST100177,2022-06-11,2022-06,,,0,272.0,0,0,,Other,Low-Value,1
CUST100178,2022-06-25,2022-06,2023-12-10,647.0,5,132.0,660,1,2025-08-12,Hyderabad,Low-Value,1
CUST100179,2024-09-22,2024-09,,,0,1407.0,0,0,,Delhi,Low-Value,1
CUST100180,2022-05-22,2022-05,2022-09-04,1109.0,2,413.0,826,0,,Hyderabad,Low-Value,1
CUST100181,2024-12-26,2024-12,2025-03-06,195.0,3,1417.0,4251,0,,Delhi,Mid-Value,1
CUST100182,2022-09-15,2022-09,2023-03-03,929.0,2,165.0,330,0,,Bengaluru,Low-Value,1
CUST100183,2022-09-20,2022-09,2023-07-11,799.0,1,279.0,279,1,2023-06-08,Hyderabad,Low-Value,1
CUST100184,2024-08-31,2024-08,2025-07-18,61.0,2,404.0,808,1,2024-12-09,Pune,Low-Value,0
CUST100185,2025-01-30,2025-01,,,0,1284.0,0,0,,Mumbai,Low-Value,1
CUST100186,2022-12-05,2022-12,2022-12-28,994.0,5,1409.0,7045,1,2025-05-18,Bengaluru,High-Value,1
CUST100187,2023-06-27,2023-06,,,0,266.0,0,0,,Other,Low-Value,1
CUST100188,2024-12-16,2024-12,2025-02-06,223.0,4,210.0,840,0,,Hyderabad,Low-Value,1
CUST100189,2025-05-27,2025-05,2025-06-10,99.0,1,375.0,375,0,,Bengaluru,Low-Value,0
CUST100190,2024-05-16,2024-05,2025-01-06,254.0,3,985.0,2955,1,2024-06-25,Hyderabad,Mid-Value,1
CUST100191,2023-03-10,2023-03,,,0,420.0,0,0,,Other,Low-Value,1
CUST100192,2025-01-09,2025-01,2025-06-10,99.0,3,486.0,1458,1,2025-02-22,Delhi,Mid-Value,0
CUST100193,2023-02-16,2023-02,2023-06-21,819.0,3,977.0,2931,1,2024-09-29,Kolkata,Mid-Value,1
CUST100194,2023-10-01,2023-10,,,0,859.0,0,0,,Hyderabad,Low-Value,1
CUST100195,2024-03-28,2024-03,2024-07-15,429.0,3,886.0,2658,1,2025-03-29,Bengaluru,Mid-Value,1
CUST100196,2025-08-23,2025-08,2025-08-25,23.0,5,664.0,3320,0,,Delhi,Mid-Value,0
CUST100197,2024-02-04,2024-02,,,0,1190.0,0,0,,Hyderabad,Low-Value,1
CUST100198,2024-06-16,2024-06,2024-11-07,314.0,5,153.0,765,0,,Mumbai,Low-Value,1
CUST100199,2024-11-25,2024-11,2025-04-08,162.0,2,2439.0,4878,0,,Other,Mid-Value,0
CUST100200,2024-07-13,2024-07,2024-10-13,339.0,2,942.0,1884,0,,Other,Mid-Value,1
CUST100201,2022-09-05,2022-09,2023-03-14,918.0,5,355.0,1775,0,,Bengaluru,Mid-Value,1
CUST100202,2023-05-23,2023-05,,,0,980.0,0,1,2024-08-19,Delhi,Low-Value,1
CUST100203,2023-04-06,2023-04,,,0,306.0,0,0,,Bengaluru,Low-Value,1
CUST100204,2022-05-12,2022-05,2022-10-17,1066.0,3,590.0,1770,0,,Other,Mid-Value,1
CUST100205,2023-11-24,2023-11,,,0,648.0,0,0,,Delhi,Low-Value,1
CUST100206,2022-02-13,2022-02,2024-11-21,300.0,6,804.0,4824,1,2022-03-12,Bengaluru,Mid-Value,1
CUST100207,2025-04-19,2025-04,2025-07-20,59.0,3,279.0,837,0,,Kolkata,Low-Value,0
CUST100208,2025-02-08,2025-02,2025-04-02,168.0,5,818.0,4090,0,,Mumbai,Mid-Value,0
CUST100209,2023-04-17,2023-04,,,0,283.0,0,0,,Delhi,Low-Value,1
CUST100210,2025-04-20,2025-04,2025-07-29,50.0,4,724.0,2896,0,,Kolkata,Mid-Value,0
CUST100211,2023-03-28,2023-03,,,0,398.0,0,1,2025-06-26,Bengaluru,Low-Value,1
CUST100212,2022-01-15,2022-01,2022-08-09,1135.0,2,94.0,188,1,2023-07-28,Delhi,Low-Value,1
CUST100213,2022-05-26,2022-05,2025-02-24,205.0,4,224.0,896,0,,Hyderabad,Low-Value,1
CUST100214,2025-07-16,2025-07,,,0,795.0,0,0,,Bengaluru,Low-Value,1
CUST100215,2022-05-01,2022-05,2022-06-14,1191.0,3,316.0,948,0,,Hyderabad,Low-Value,1
CUST100216,2023-04-14,2023-04,2024-06-10,464.0,1,1065.0,1065,1,2024-07-13,Delhi,Mid-Value,1
CUST100217,2022-05-19,2022-05,2022-10-16,1067.0,3,153.0,459,0,,Bengaluru,Low-Value,1
CUST100218,2022-03-06,2022-03,2024-11-26,295.0,3,704.0,2112,0,,Chennai,Mid-Value,1
CUST100219,2023-11-08,2023-11,2025-08-09,39.0,1,388.0,388,1,2024-03-25,Chennai,Low-Value,0
CUST100220,2022-05-26,2022-05,2022-10-29,1054.0,2,331.0,662,0,,Kolkata,Low-Value,1
CUST100221,2024-11-18,2024-11,,,0,157.0,0,1,2025-06-15,Hyderabad,Low-Value,1
CUST100222,2023-05-03,2023-05,,,0,477.0,0,1,2025-07-22,Delhi,Low-Value,1
CUST100223,2023-07-25,2023-07,2024-02-25,570.0,5,180.0,900,1,2024-04-19,Chennai,Low-Value,1
CUST100224,2024-09-21,2024-09,,,0,243.0,0,1,2024-12-14,Bengaluru,Low-Value,1
CUST100225,2023-03-15,2023-03,2025-02-15,214.0,3,360.0,1080,0,,Bengaluru,Mid-Value,1
CUST100226,2025-01-09,2025-01,2025-04-26,144.0,2,301.0,602,0,,Chennai,Low-Value,0
CUST100227,2022-09-28,2022-09,,,0,918.0,0,0,,Bengaluru,Low-Value,1
CUST100228,2025-03-15,2025-03,2025-06-19,90.0,2,51.0,102,0,,Bengaluru,Low-Value,0
CUST100229,2025-03-26,2025-03,2025-06-14,95.0,2,350.0,700,0,,Delhi,Low-Value,0
CUST100230,2024-08-26,2024-08,2025-07-16,63.0,4,302.0,1208,0,,Delhi,Mid-Value,0
CUST100231,2023-05-13,2023-05,2024-08-16,397.0,2,401.0,802,0,,Kolkata,Low-Value,1
CUST100232,2024-08-26,2024-08,,,0,261.0,0,1,2025-07-18,Hyderabad,Low-Value,1
CUST100233,2024-04-13,2024-04,2025-05-31,109.0,1,915.0,915,1,2025-06-02,Hyderabad,Low-Value,0
CUST100234,2023-01-25,2023-01,,,0,328.0,0,0,,Kolkata,Low-Value,1
CUST100235,2022-07-13,2022-07,,,0,449.0,0,0,,Delhi,Low-Value,1
CUST100236,2022-07-18,2022-07,2023-06-12,828.0,4,824.0,3296,0,,Kolkata,Mid-Value,1
CUST100237,2024-06-01,2024-06,2024-09-01,381.0,3,421.0,1263,0,,Mumbai,Mid-Value,1
CUST100238,2023-12-27,2023-12,2024-10-27,325.0,5,146.0,730,0,,Mumbai,Low-Value,1
CUST100239,2024-05-17,2024-05,,,0,287.0,0,0,,Mumbai,Low-Value,1
CUST100240,2024-04-21,2024-04,,,0,365.0,0,0,,Chennai,Low-Value,1
CUST100241,2024-08-14,2024-08,,,0,108.0,0,0,,Delhi,Low-Value,1
CUST100242,2022-04-21,2022-04,2022-05-11,1225.0,1,228.0,228,0,,Mumbai,Low-Value,1
CUST100243,2025-08-31,2025-08,2025-08-31,17.0,3,382.0,1146,1,2025-09-01,Bengaluru,Mid-Value,0
CUST100244,2025-08-16,2025-08,2025-08-17,31.0,4,2018.0,8072,0,,Hyderabad,High-Value,0
CUST100245,2022-07-21,2022-07,2023-03-18,914.0,4,543.0,2172,0,,Hyderabad,Mid-Value,1
CUST100246,2022-05-05,2022-05,2024-04-06,529.0,3,458.0,1374,0,,Hyderabad,Mid-Value,1
CUST100247,2024-04-04,2024-04,,,0,1560.0,0,0,,Delhi,Low-Value,1
CUST100248,2023-11-26,2023-11,2024-11-15,306.0,2,646.0,1292,0,,Chennai,Mid-Value,1
CUST100249,2022-08-12,2022-08,2025-04-29,141.0,3,723.0,2169,0,,Mumbai,Mid-Value,0
CUST100250,2023-05-25,2023-05,2025-02-11,218.0,3,291.0,873,0,,Mumbai,Low-Value,1
CUST100251,2023-01-28,2023-01,2024-10-03,349.0,4,147.0,588,1,2023-04-15,Hyderabad,Low-Value,1
CUST100252,2023-01-25,2023-01,,,0,497.0,0,1,2023-06-24,Pune,Low-Value,1
CUST100253,2025-01-03,2025-01,,,0,1733.0,0,0,,Chennai,Low-Value,1
CUST100254,2024-07-07,2024-07,2025-04-12,158.0,4,1353.0,5412,1,2025-07-15,Mumbai,High-Value,0
